,name,score,,,,
,Simon,50,,,,
,Alex,65,,,,
,Mary,45,,,,
,Tom,59,,,,
,Sam,66,,,,
,Mason,70,,,,
,John,60,,,,
,"simon
",1,,,,
,sfadf,3,,,,
,tony,0,,,,
,Unknown6683,3,,,,
,Unknown9754,2,,,,
,Unknown4475,0,,,,
,Unknown6522,0,,,,
,Unknown1803,0,,,,
,Unknown2687,0,,,,
,Unknown8386,34,,,,
,Unknown1988,5,,,,
,Unknown7996,6,,,,
,Unknown2210,4,,,,
,Unknown5653,0,,,,
,Unknown2663,6,,,,
,Unknown8614,0,,,,
,Unknown9822,3,,,,
,Unknown9075,0,,,,
,Unknown8460,1,,,,
,Unknown3233,0,,,,
,Unknown1579,7,,,,
,Unknown6582,13,,,,
,Unknown1288,9,,,,
,Unknown3007,10,,,,
,Unknown6609,1,,,,
,Unknown7241,1,,,,
,Unknown1356,0,,,,
,Unknown6508,1,,,,
,Unknown3339,0,,,,
,Unknown7065,1,,,,
,Unknown4262,0,,,,
,Unknown1403,4,,,,
,Unknown9207,0,,,,
,Unknown7769,1,,,,
,Unknown1182,27,,,,
,Unknown6932,0,,,,
,Unknown9752,0,,,,
,Unknown3074,16,,,,
,Unknown6581,0,,,,
,Unknown8465,3,,,,
